Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,83.709999,83.820000,83.160004,83.610001,82.676018,7966600
2018-06-21,83.400002,84.550003,82.900002,84.209999,83.269318,8092000
2018-06-22,84.459999,84.849998,84.099998,84.820000,83.872513,10813000
2018-06-25,84.589996,86.599998,84.480003,86.470001,85.504082,15939500
2018-06-26,86.529999,87.050003,85.760002,85.980003,85.019547,10126200
2018-06-27,85.900002,87.489998,85.550003,86.889999,85.919380,10299700
2018-06-28,86.849998,87.290001,85.690002,85.860001,84.900894,8467000
2018-06-29,85.900002,86.199997,85.519997,85.650002,84.693237,8255600
2018-07-02,85.650002,85.940002,83.400002,84.000000,83.061668,8125100
2018-07-03,84.089996,85.050003,84.089996,84.440002,83.496758,4396200
2018-07-05,84.940002,85.580002,84.269997,84.570000,83.625298,5367500
2018-07-06,84.199997,84.870003,83.820000,84.510002,83.565971,5613700
2018-07-09,85.000000,86.470001,84.769997,85.930000,84.970108,6575400
2018-07-10,85.930000,87.330002,85.879997,87.209999,86.235809,6048400
2018-07-11,87.059998,87.150002,86.389999,86.529999,85.563400,5595900
2018-07-12,86.940002,87.410004,86.220001,86.519997,85.553513,4888600
2018-07-13,86.519997,87.989998,86.500000,87.699997,86.720337,6388600
2018-07-16,87.620003,87.720001,86.830002,87.639999,86.661003,4447200
2018-07-17,87.400002,88.699997,87.400002,88.190002,87.204865,5911500
2018-07-18,88.330002,89.190002,87.940002,88.070000,87.086205,5045500
2018-07-19,87.860001,88.480003,87.410004,87.720001,86.740112,4883100
2018-07-20,87.400002,88.169998,87.199997,88.059998,87.076317,4815100
2018-07-23,87.650002,88.150002,87.379997,87.629997,86.651115,4150000
2018-07-24,88.120003,88.500000,87.610001,87.959999,86.977432,5589500
2018-07-25,87.269997,88.019997,87.110001,87.900002,86.918098,5809100
2018-07-26,88.500000,89.430000,88.180000,88.230003,87.244423,6548300
2018-07-27,88.639999,88.879997,88.029999,88.129997,87.145531,4679400
2018-07-30,88.000000,88.940002,87.889999,88.879997,87.887146,6010700
2018-07-31,89.000000,89.660004,88.800003,89.230003,88.233246,6708100
2018-08-01,88.860001,89.129997,87.879997,88.239998,87.254303,5050000
2018-08-02,87.940002,88.839996,87.620003,88.760002,87.768501,4306100
2018-08-03,89.190002,90.279999,89.000000,89.599998,88.599106,5747200
2018-08-06,89.309998,89.980003,89.129997,89.669998,88.668327,4651600
2018-08-07,89.830002,90.360001,89.650002,89.769997,88.767204,4526700
2018-08-08,89.970001,90.230003,89.370003,90.050003,89.044090,5041100
2018-08-09,89.459999,89.629997,88.760002,89.010002,88.526909,4725600
2018-08-10,88.699997,90.370003,88.650002,90.180000,89.690552,8244900
2018-08-13,90.199997,90.540001,89.370003,89.639999,89.153488,5879200
2018-08-14,89.639999,91.120003,89.629997,90.849998,90.356918,5836800
2018-08-15,90.250000,90.410004,89.669998,90.220001,89.730339,8616900
2018-08-16,100.110001,100.209999,97.910004,98.639999,98.104637,42631300
2018-08-17,97.769997,99.669998,97.610001,97.849998,97.318924,16463300
2018-08-20,97.669998,98.290001,95.949997,96.000000,95.478966,12679300
2018-08-21,95.959999,96.360001,95.360001,96.080002,95.558533,10531300
2018-08-22,96.199997,96.849998,95.230003,95.669998,95.150757,7765700
2018-08-23,95.500000,95.860001,95.059998,95.180000,94.663422,6096400
2018-08-24,95.089996,95.660004,94.349998,94.949997,94.434662,8594300
2018-08-27,95.260002,95.610001,94.290001,94.540001,94.026894,7040300
2018-08-28,94.769997,96.349998,94.529999,96.070000,95.548584,9983000
2018-08-29,96.279999,96.830002,95.529999,95.639999,95.120918,7862800
2018-08-30,95.500000,96.500000,95.449997,96.099998,95.578423,7058700
2018-08-31,96.190002,96.440002,95.110001,95.860001,95.339729,6324700
2018-09-04,95.800003,96.269997,95.239998,95.360001,94.842445,8280700
2018-09-05,95.669998,96.830002,95.360001,96.620003,96.095604,9474600
2018-09-06,96.529999,96.720001,96.010002,96.449997,95.926521,6150800
2018-09-07,95.800003,96.480003,95.639999,95.830002,95.309891,6672400
2018-09-10,96.110001,97.190002,96.089996,96.900002,96.374084,8332600
2018-09-11,97.269997,97.660004,96.489998,96.639999,96.115494,6463500
2018-09-12,96.260002,96.739998,95.930000,95.970001,95.449135,5900000
2018-09-13,95.320000,95.620003,94.910004,95.120003,94.603745,7652900
2018-09-14,94.529999,94.839996,94.349998,94.589996,94.076614,6319400
2018-09-17,94.750000,95.480003,94.370003,94.820000,94.305374,5329800
2018-09-18,94.459999,95.589996,94.150002,95.430000,94.912064,6759800
2018-09-19,95.570000,95.889999,94.879997,95.239998,94.723091,5675100
2018-09-20,95.349998,95.790001,94.949997,95.750000,95.230324,5552300
2018-09-21,95.919998,96.290001,95.629997,95.900002,95.379509,9530100
2018-09-24,95.440002,96.000000,94.860001,94.919998,94.404831,5337000
2018-09-25,95.989998,96.519997,94.989998,95.099998,94.583847,6193200
2018-09-26,95.099998,95.589996,94.519997,94.589996,94.076614,5918600
2018-09-27,94.190002,94.959999,93.820000,94.129997,93.619118,5363400
2018-09-28,94.279999,94.370003,93.690002,93.910004,93.400314,6306300
2018-10-01,94.290001,94.660004,94.040001,94.400002,93.887650,4994300
2018-10-02,93.930000,95.610001,93.849998,95.150002,94.633583,7754600
2018-10-03,95.500000,95.540001,94.040001,94.070000,93.559441,6327400
2018-10-04,94.070000,94.500000,93.199997,94.209999,93.698685,6045300
2018-10-05,93.860001,94.190002,92.889999,93.309998,92.803566,6693400
2018-10-08,93.250000,94.930000,93.019997,94.690002,94.176079,5762600
2018-10-09,95.639999,97.739998,95.190002,97.080002,96.553108,11598900
2018-10-10,96.599998,97.849998,95.699997,95.760002,95.240273,9002800
2018-10-11,95.809998,96.290001,93.599998,93.919998,93.410255,9926500
2018-10-12,94.760002,95.169998,93.669998,94.809998,94.295425,8553900
2018-10-15,94.500000,94.989998,93.820000,93.820000,93.310799,8305500
2018-10-16,94.699997,96.070000,94.339996,95.809998,95.289993,11241700
2018-10-17,95.180000,96.620003,94.900002,96.559998,96.035927,9539400
2018-10-18,96.400002,97.250000,95.739998,96.169998,95.648041,11398400
2018-10-19,96.000000,97.650002,96.000000,97.150002,96.622726,8950700
2018-10-22,97.339996,97.580002,96.739998,97.139999,96.612778,7122900
2018-10-23,96.500000,97.989998,96.110001,97.800003,97.269203,9405800
2018-10-24,97.500000,99.169998,97.279999,97.559998,97.030495,10364700
2018-10-25,98.010002,99.480003,97.000000,99.180000,98.641708,10737100
2018-10-26,98.809998,99.669998,98.019997,98.940002,98.403015,14925600
2018-10-29,99.510002,101.730003,99.089996,99.800003,99.258347,12706100
2018-10-30,100.209999,102.599998,100.059998,102.419998,101.864120,12708500
2018-10-31,102.489998,102.489998,100.120003,100.279999,99.735741,12354900
2018-11-01,99.959999,101.169998,99.720001,100.580002,100.034111,7735100
2018-11-02,100.879997,101.570000,100.309998,101.339996,100.789978,7303200
2018-11-05,101.190002,103.169998,100.629997,102.910004,102.351471,7616800
